Column1,Column2
The Euclidean distance between the master steer data and steer data of file 2 is,18.97072139
The Euclidean distance between the master steer data and steer data of file 3 is,11.66078046
The Euclidean distance between the master acceleration data and acceleration data of file 2 is,34.40421369
The Euclidean distance between the master acceleration data and acceleration data of file 3 is,28.50142027
The Euclidean distance between the master brake data and brake data of file 2 is,24.17617723
The Euclidean distance between the master brake data and brake data of file 3 is,20.56098842
,
,
The Euclidean distance between the master steer data and steer data of file 2 is,14.81493511
The Euclidean distance between the master steer data and steer data of file 3 is,15.27958185
The Euclidean distance between the master acceleration data and acceleration data of file 2 is,37.28343879
The Euclidean distance between the master acceleration data and acceleration data of file 3 is,36.91027395
The Euclidean distance between the master brake data and brake data of file 2 is,24.21844248
The Euclidean distance between the master brake data and brake data of file 3 is,17.3730311
,
,
The Euclidean distance between the master steer data and steer data of file 2 is,15.34826514
The Euclidean distance between the master steer data and steer data of file 3 is,14.64622676
The Euclidean distance between the master acceleration data and acceleration data of file 2 is,42.76410277
The Euclidean distance between the master acceleration data and acceleration data of file 3 is,35.45963961
The Euclidean distance between the master brake data and brake data of file 2 is,17.3730311
The Euclidean distance between the master brake data and brake data of file 3 is,23.32877442
,
,
The Euclidean distance between the master steer data and steer data of file 2 is,17.6113326
The Euclidean distance between the master steer data and steer data of file 3 is,8.036101838
The Euclidean distance between the master acceleration data and acceleration data of file 2 is,35.46979361
The Euclidean distance between the master acceleration data and acceleration data of file 3 is,27.06911052
The Euclidean distance between the master brake data and brake data of file 2 is,31.23933305
The Euclidean distance between the master brake data and brake data of file 3 is,17.3730311
,
,
The Euclidean distance between the master steer data and steer data of file 2 is,17.53000415
The Euclidean distance between the master steer data and steer data of file 3 is,14.80967639
The Euclidean distance between the master acceleration data and acceleration data of file 2 is,30.29650246
The Euclidean distance between the master acceleration data and acceleration data of file 3 is,26.14297161
The Euclidean distance between the master brake data and brake data of file 2 is,29.7118506
The Euclidean distance between the master brake data and brake data of file 3 is,21.90507945
,
,
The Euclidean distance between the master steer data and steer data of file 2 is,16.08453774
